settings_1,settings_2,snr,parameter.ID,T,fp_1,fp_2,fp_3,fp_4,fn_1,fn_2,fn_3,fn_4,mse_1,mse_2,mse_3,mse_4,compTime_1,compTime_2,compTime_3,compTime_4,converged_1,converged_2,converged_3,converged_4
15,0.01,0.968694212351771,1,500,4,4,4,4,0,0,0,0,1.83029428182034e-06,1.83029428182034e-06,1.83029428182034e-06,1.83029428182034e-06,42.390204,172.475138,44.238498,160.497634,0,0,0,0
15,0.01,1.15847697988431,1,500,0,0,0,0,0,0,0,0,1.58900943399697e-07,1.58900943399697e-07,1.58900943399697e-07,1.58900943399697e-07,44.982499,196.907543,46.986572,175.06211,0,0,0,0
15,0.01,0.92395267740422,1,500,0,0,0,0,0,0,0,0,7.23282543737282e-07,7.23282543737282e-07,7.23282543737282e-07,7.23282543737282e-07,41.855323,162.653252,37.091886,138.73972,0,0,0,0
15,0.01,1.4997029357056,1,500,2,1,0,3,0,0,0,0,7.42262726837349e-07,7.49177888378446e-07,3.90077405019612e-07,5.65268077224351e-06,45.785317,192.554548,47.955415,170.035464,0,0,0,0
15,0.01,1.34463798580124,1,500,2,2,1,1,0,0,0,0,1.38846413572578e-06,1.38846413572578e-06,8.07761781565466e-07,1.2990464112855e-06,43.824885,176.574841,41.78451,162.870501,0,0,0,0
15,0.01,1.28914471977052,1,1000,0,0,0,0,0,0,0,0,1.43437929574539e-06,1.43437929574539e-06,1.43437929574539e-06,1.43437929574539e-06,78.717661,302.711662,73.117939,274.885964,0,0,0,0
15,0.01,1.32464721012686,1,1000,0,0,0,0,0,0,0,0,2.54595557348105e-06,2.54595557348105e-06,2.54595557348105e-06,2.54595557348105e-06,72.848186,271.143895,66.142257,231.278593,0,0,0,0
15,0.01,1.40165244565631,1,1000,0,0,1,0,0,0,0,0,1.28154161946605e-06,1.28154161946605e-06,1.24453051989289e-06,1.28154161946605e-06,73.227033,277.445157,71.608669,257.858826,0,0,0,0
15,0.01,1.21542450483316,1,1000,0,0,0,0,0,0,0,0,1.23677878508442e-06,1.23677878508442e-06,1.23677878508442e-06,1.23677878508442e-06,78.995038,273.787,65.892026,246.04859,0,0,0,0
15,0.01,1.11400783111454,1,1000,5,6,0,0,0,0,0,0,1.29961849500596e-06,1.33897322309951e-06,8.20811077745845e-07,8.20811077745845e-07,78.597299,267.507294,66.121565,243.272024,0,0,0,0
15,0.01,1.14643797100898,1,2000,0,0,0,2,0,0,0,0,5.24065347657522e-08,5.24065347657522e-08,5.24065347657522e-08,1.66117071460909e-07,159.88181,758.33999,136.505731,455.981335,0,0,0,0
15,0.01,1.20348182036687,1,2000,4,0,0,0,0,0,0,0,2.0723439336826e-07,2.90473107696268e-08,2.90473107696268e-08,2.90473107696268e-08,149.854201,649.452602,139.105819,438.913259,0,0,0,0
15,0.01,1.29514973680907,1,2000,0,0,0,0,0,0,0,0,1.18275915390503e-07,1.18275915390503e-07,1.18275915390503e-07,1.18275915390503e-07,157.873069,567.647014,118.097717,428.44245,0,0,0,0
15,0.01,1.33008124423392,1,2000,1,0,1,0,0,0,0,0,7.15490441560172e-08,7.540154500852e-08,7.15490441560172e-08,7.540154500852e-08,128.040053,612.191815,124.846312,413.825984,0,0,0,0
15,0.01,1.27510311313118,1,2000,0,0,0,0,0,0,0,0,1.65839202429586e-07,1.65839202429586e-07,1.65839202429586e-07,1.65839202429586e-07,152.847227,595.033377,136.829409,365.884427,0,0,0,0
15,0.02,0.628264874897071,2,500,7,0,4,0,0,0,0,0,2.16036799375416e-05,1.91049494321411e-05,1.95585039498677e-05,1.91049494321411e-05,30.786545,133.504045,40.237562,159.999098,0,0,0,0
15,0.02,0.536231563826816,2,500,1,0,0,0,0,0,0,0,6.69058686263948e-05,6.66368713730202e-05,6.66368713730202e-05,6.66368713730202e-05,34.167508,138.96368,29.318508,131.713717,0,0,0,0
15,0.02,0.666682428315211,2,500,4,1,2,1,0,0,0,0,2.03411229019718e-05,1.98367709263388e-05,2.01185441983474e-05,1.98367709263388e-05,34.59843,154.808959,32.212375,141.82302,0,0,0,0
15,0.02,0.636571087153005,2,500,16,19,17,13,0,0,0,0,0.000292580865502868,0.000435417010355464,0.00034291269032718,0.000366703294060703,28.908859,145.420972,34.261276,145.535986,0,0,0,0
15,0.02,0.537869895864699,2,500,2,0,0,0,0,0,0,0,7.055526391705e-05,7.58212971664444e-05,7.58212971664444e-05,7.58212971664444e-05,33.510472,150.060458,33.208806,133.104173,0,0,0,0
15,0.02,0.605693005228424,2,1000,1,1,1,1,0,0,0,0,2.18460413643602e-05,2.18460413643602e-05,2.18460413643602e-05,2.18460413643602e-05,46.11848,206.844656,50.490718,194.396028,0,0,0,0
15,0.02,0.814435348003694,2,1000,7,1,0,1,0,0,0,0,1.46717343960235e-05,1.40160166107425e-05,1.39281413687165e-05,1.40160166107425e-05,50.780698,216.883235,54.126345,214.873754,0,0,0,0
15,0.02,0.63764986680896,2,1000,1,0,0,0,0,0,0,0,1.81004597094057e-05,1.81715800049631e-05,1.81715800049631e-05,1.81715800049631e-05,44.766177,209.383692,44.140988,197.567944,0,0,0,0
15,0.02,1.31739778744369,2,1000,12,3,1,1,0,0,0,0,3.69588695220162e-05,3.7414730699601e-05,3.7352102360207e-05,3.7352102360207e-05,60.988844,239.414838,58.440633,233.177003,0,0,0,0
15,0.02,0.635790108175341,2,1000,1,1,1,1,0,0,0,0,6.01127655692889e-05,6.01127655692889e-05,6.01127655692889e-05,6.01127655692889e-05,50.685094,199.004777,49.43417,199.207248,0,0,0,0
15,0.02,0.810787744902437,2,2000,13,0,1,0,0,0,0,0,2.07147208649944e-05,1.67881425890082e-05,1.68383695582985e-05,1.67881425890082e-05,106.461164,465.039404,94.311344,345.732123,0,0,0,0
15,0.02,0.558309798549486,2,2000,2,4,2,0,0,0,0,0,8.09433310879596e-06,8.23907549308655e-06,8.09433310879596e-06,7.82226450672743e-06,94.008098,452.838876,91.310512,339.342554,0,0,0,0
15,0.02,0.611754164911478,2,2000,0,0,6,0,0,0,0,0,1.84029348394629e-05,1.84029348394629e-05,1.82284103376035e-05,1.84029348394629e-05,104.586986,413.36446,89.468999,419.477832,0,0,0,0
15,0.02,0.651346438355137,2,2000,1,1,1,1,0,0,0,0,4.90232774154205e-05,4.90232774154205e-05,4.90232774154205e-05,4.90232774154205e-05,99.964272,584.775928,124.296277,368.37226,0,0,0,0
15,0.02,0.597318184422621,2,2000,0,0,0,0,0,0,0,0,2.03843435175164e-05,2.03843435175164e-05,2.03843435175164e-05,2.03843435175164e-05,135.053365,647.462413,127.521839,378.524586,0,0,0,0
15,0.05,0.912476205502304,3,500,15,10,13,5,1,1,1,1,0.000410487979968282,0.000458644606792966,0.000326502434260564,0.000325336181150967,34.192021,136.437935,33.387114,125.326622,0,0,0,0
15,0.05,1.39908219666273,3,500,8,6,0,5,9,4,9,1,0.0145668777545866,0.00310442498033553,0.0145665840528505,0.000110266987733038,30.36009,147.08134,34.914641,141.871447,0,0,0,0
15,0.05,1.3674254027717,3,500,13,9,13,7,1,2,1,2,0.000327636717717105,0.000682405161039686,0.000327636717717105,0.000682904509100848,36.86605,154.380181,35.787617,143.184924,0,0,0,0
15,0.05,0.955313502941451,3,500,13,6,12,4,1,1,1,1,0.00028807514274296,0.00023324317021275,0.000244068061795308,0.000236584880706483,30.018123,135.407509,31.87147,135.867557,0,0,0,0
15,0.05,1.14828271357996,3,500,13,5,13,6,1,1,1,1,0.000214051458660475,0.000211281707321298,0.000214051458660475,0.000212449591825838,29.305651,139.275726,30.096667,115.573198,0,0,0,0
15,0.05,0.602007128974033,3,1000,3,2,1,1,1,0,1,1,9.83951599819061e-05,5.45892524606234e-05,9.93161142216563e-05,9.93161142216563e-05,45.22333,184.069789,42.662996,178.837894,0,0,0,0
15,0.05,1.30357859335707,3,1000,13,5,4,4,1,1,1,1,0.000208145390363659,0.000170037465425611,0.000170033719120456,0.000170414074724617,49.50928,197.862364,48.282484,184.9842,0,0,0,0
15,0.05,0.859408372916396,3,1000,10,7,9,5,0,0,0,0,0.000103987904840853,0.000104104150670647,0.000103978215695068,0.000104124983062303,44.411888,194.476988,44.983833,185.314321,0,0,0,0
15,0.05,0.95589684199022,3,1000,14,4,11,1,0,1,0,1,0.000142660388510386,0.000161388988803414,0.000137183706842369,0.000160835579695606,48.376739,197.867344,46.33753,180.979657,0,0,0,0
15,0.05,1.29091087186872,3,1000,18,4,18,3,1,1,1,1,0.000315531072928575,0.000132105720730759,0.000315531072928575,0.000130711606069607,47.171372,189.096793,54.666184,198.345516,0,0,0,0
15,0.05,1.05130090400916,3,2000,11,6,7,3,1,1,1,1,9.62197212861129e-05,9.62349260174337e-05,9.62503266749387e-05,9.61794494539395e-05,91.501138,439.060585,116.779565,355.272559,0,0,0,0
